wallet,volume
0x96b5d2e3a45f57b2c71bb45b3d46191d7c85d789,502068.8
0x67f752be02105fa87b00cba354830742381a4962,501404.12
0x01fe9b8186ada4cc463d47a6b2be7b1224736ee5,500500.0
0xff10a6c42166882a75aec3fb569effc70c7360a8,500130.0
0x2601d70515a73c7d0e1e70f0afe5bc46228ae93a,500100.0
0xf3a8d484cd142bb91c4346167e3edd7df1be2620,500100.0
0xd2fdd226506cff78cfd4ebefff0ff273a3c88ebb,500000.000002
0xc5563ced9d6426f3ee61516702f6feb583002d25,500000.0
0x0e7b6a56cbe5c5ded3ee668c31f18ac3363c4bca,500000.0
0x488efe36a5df808ac280a0b6c2a576a217538957,500000.0
0xcb73a44900d3c9fa0fc25721b1892a7e9baddf92,500000.0
0x7b1852baf37d9c27499a873cd0087882d87d4f40,500000.0
0x3c46c127e43e8853956d739bcf200a058e356857,500000.0
0x7697c480799b497cdef51b591690c817d7341b15,500000.0
0xe4bb1dfd65c7e8a1c71c52a0b560453f60eebe98,500000.0
0x57191275c16027939d4fd2356222ae369b6ad7f1,500000.0
0x5846bcd9749a3f3adb9aadc7895ee251f63f94e6,500000.0
0xdc1c95f2b3909cf2320710803e9dba9b8fca41f5,500000.0
0x1e8d92ff755962730b8e7b44b35bd97b8df80348,500000.0
0x3e7fe89e7a5eadf3a878dbfb2e03915eb610b01b,500000.0
0xd0f45b8fd072b769eed10a8458d06fdb673506fa,500000.0
0x851d80019a51e48283cc2cdad44c50990f3561a1,500000.0
0x965f67b38d4ba7cdb83e82107fc735fd4764e68b,500000.0
0xfe9c7ab1780377c09853419cda002e2ed813f81b,500000.0
0x283c3f6724ca0e3d72f77047bc3ed39e8d99564b,500000.0
0xf9603d99d715a4a21e9a39227cfeaaf6cd7cc890,499982.81
0x51d3581a8d366af080765cae7c3e5107219198e8,499980.32
0xdf43eede52632aedb10cf12e4a87ead65e9f8573,498700.18
0xc283fbbffd63434707acd8bdd356c6c5752bb4dd,498000.0
0x6cb167e9eb12c6cefa0a04a046956e8ec551e481,496189.039412
0x762b70ab6bb98ab90f70ebadca8f121ba52b646a,491916.397467
0x850f5a7bf279d9fcf07f5d1cd49b09d6eda0ec2c,491123.95
0x85d22d6a66ebb0e292d3a8e2684d57b02daf6727,490815.25999999995
0x3a9ec86afd44ba565839b746aacda093ca53a018,462605.62824
0x68a75eed640b411a5b71ba62f30bf99c80181ba3,459996.3
0x4b6e5c8f96bb1c8bd487487fb33b6d4b0c01eea6,456769.684
0x421a3456cfb86f97290593ffbde727a059823ac0,456012.331232
0xa3e81c49c751e52720934effcd25423d49fde3d2,455156.6102
0xf11782a49db23c68eb5923b7b937f5bdd264ee9d,451622.73
0xe67fe73219116ec7ce6cc8cc2f20fcc5e2276d1d,435900.39999999997
0x8444ea0454c5db5a3e0dbc29460c9c89de5e3e5a,413910.0
0x4cc3d329f3af36ebb8c10aa253f5b6de65593c71,413000.0
0xed2bf90cd60866a99ac43120b7642b864fa86124,400995.0
0x943d47f7e456b6e2f2515b9cfa5711485ef72a0e,400074.28035
0xb48f360a5f13b4b88defbfc486abf922fa93702c,400000.0
0xf3341d7d8755e59f3a7775e13d1193f8a5dc81f7,400000.0
0x6916f426c303509d9117dffb6309c59589ee7ec2,397147.161942
0xb5a3acc1e9b346cc2d2881bd11fd83614fd4b928,387953.0
0xd111450417e276aa2ed1b05264fdfda6e9c6cd6a,381000.0
0xf41f230f1b8ba11d836648060e6617faa58e4b94,377132.557199
0xb37b8a5d3a07234190bfbf9892e274f4b8da247a,350000.0
0xd8d90547bff842d38d69e24dbc50546fca978a03,350000.0
0x91d9bfbd88e52aeeb4e76c3cd763a6cfaad5960e,349574.733913
0xc2821e2314ba2aa4da528cb8cd155c98217492d5,340000.0
0xb3a4bdb6dce9449ead96e4379158e8f486c7c75a,335601.0
0x070d9e4f367967dd98a526d203c73b2189e14631,332364.85
0x821be50dc16a1124af494faf7bec14e9a27d8bf8,318500.0
0x74574ca138166c44373c7c11b4871d3a63ef2d13,311001.0
0xebce50989544d28898b062c392dc11b8d97ca6c5,311000.0
0x0591a478d2fbabe5ec19e93ad7f1dd94edea3157,310611.96583400003
0xe2e329f1108112b6869910411d7015543fec33a8,306042.08
0x1efd9fd4f89e6b2ffe38a2afcfed12cb33af3dff,305759.642725
0xb3064406918dc2384cbb5e47cbc9f14aa272c006,301000.0
0xcd99317ef990db4cd9356c805dcb3266173740bc,300460.0
0xe14d27b909dfd3ed25a0178e730ecc0e7144737a,300000.0
0xd82e9f8e416195fb98fd41883034af0a15eec5a8,300000.0
0xfa58eba5adc24cc7a4730cb6059e9147f31ac791,300000.0
0x20703ddad97ac1599e5eeee375e3e238d6ee6137,298810.390842
0x3bee1c0908491b265a1909c068e77aa410610005,290000.0
0x451f170c16de806f46cf1fe734c7a97341e335cd,288567.0
0x911a7729f5af5be48a9d31596e74b70f7f486712,283443.5033849764
0x5beeb39af159ac966dea56d87aa7311544d2bf31,281837.875593
0x5cde032e272c7cd6891c872312148f8062b1b94c,281700.01
0x9f41e50f7c57679e15c46ff624aa406e4127e4cc,279949.426914
0xcde58b03a3bf9a46fe71076ff81c17ce6903f20f,271239.682759
0x10f07e726704b7bae05988777552078fad7b72bd,257000.0
0xe60ae61395cc96be22fa599c17c529ce22f4bccd,252622.940245
0x253eadb3ec6cbacb4eb817fafcd4280c7da68b01,250500.0
0x81f2b571a297bae177f77f3013b9de2181f635a7,250011.0
0x76a6ab633c2e56ebfd20143702326062548b9813,250000.0
0xa20978eae811564142d8e3962c688599750628d5,250000.0
0x8ad027cb7044fa550512dc209687acb61153da39,249985.0
0x195036134ed1f9108b8718fcac7e25e60ca7abfb,249939.422248
0x531d1512d98726b48a4e6783ee1602ab658b18f5,249000.0
0x20a607a524ea7f350077f6e1690f534333af4428,248845.0
0xdb597c911cee548061d6642bdac01d81830058ee,245404.8
0xcb574907f6a38687195e3973510a7c86ace037ef,244564.15
0x61d54ec1fb56ace7a545655ca6e75d0980037e51,241316.2
0x4e8a4a75b3cb2ada02cb8aee3c72e713c6efa89b,233240.66
0x65a3b94d1948408e1ea2a1304017fd3296144c62,229418.8
0xde809d5b1f61678322af424f50da2a47acc561ac,227687.30205800105
0x9a59040b31e7ec2e4af636bd0cb669d73ed7d223,213006.0
0x80f88f9244dbffc7ef0ea4f2a124cf9a1fc85edc,206935.19318502373
0x27964aa730d15879581177baee92e1330f62afb9,206924.951101
0xae6d44eb65ccadd538c8b08a20d9055a340eb6a2,202854.23
0xc28a9bc8e637f12cd5cd754ec1949cd87aadbcef,200716.43
0xc646070927d27e62706e9fdd522327ebe166fd08,200010.0
0xa9d7064f12b30cc7fc2d4808d3d28c80591903ff,200000.0
0x48d1507d02e1d8e62a193ef0220e2976b8486eb9,200000.0
0x3147716435f7f59291480fd118c10e445a8970e5,200000.0
0x8a378848b276813c4d7d524fb8a89bb751324a3f,200000.0
0xd22f8d6212211a8d13f6fc1442c21e1aff5e9cdb,200000.0
0x3df19a1131be21b3c1eee338b85831a37927f566,200000.0
0xb6205e878e2cfbba408463f1df2baa75dfa352f2,200000.0
0xf4e6d7adbc5bfb1d4c168df186722293be79f363,200000.0
0xb924e3fc1f4d15c520cb3eaeda16e8d4a8e1892f,199995.248034
0x27842667fa6182c09ec53a81526c37a4d7ca98f1,196972.91182697655
0x677523e9e56fdc4e313463934913cc07054eda7d,190000.0
0xfdc189bbc97e9128c2b8b7533e0800d86a9d4c90,189816.169162
0x28ddefda7d56b613a9a2883f34820b38195d43a0,181425.0
0x9e2f6c8dc41ca2b21005b21dbd7aa1d2187bb79c,177955.0
0x4a41f3f0e0c0e3419b66c0c5251d64c7612a9e6d,174000.0
0xacfe2d5fecd2f9538e5d87916a4ebc668308f678,169524.742938
0x82e03fbf02e0db3bea35449c41e49e01d3d65848,165000.0
0xca0a9fb9b38c6d6554fd2e0e1600484cd583b880,164000.0
0x3ea7a28131fb3e8270acd2eaa1e6ee1afafc3d2e,163450.4
0x689eff18fe2a490859429f1032519e7d2f60f753,160100.0
0x9fae560efb660aac4508e1c2616d9d4e84c2bea6,156238.0
0xb43ce97938a0b309250d4c9d7fe2f61137ffa696,156137.4
0xf4c3e1833546d879ddb652f009ce0b245a11d76a,155213.364813
0x8c95ff322f332ca7b4d5972a2d790b5cef0e2a42,155000.0
0xfa01503bdf72bf17c90e579fcf6786fedb22ec4f,150552.96
0x879df7e7b015842d9d7b505295d1c5ebc39a2c1f,149971.0228
0x45260e9669e2e74c28a639b235c0d08d83d28713,149841.96
0x2aecb5d569712e33b4a20952d96619ec9d24ea9b,149467.34999999998
0xb1532f2ab9659343e51c5f1cb4a8be2b74b117c9,149000.0
0xa635ffd0ec5a2e05a1ada1d949c4d72317624668,148456.43
0x2746143352d2b90b0aa86a6c2efa0a7b28aa2ef1,144818.123788
0x305773092d594634ab940c740e2c2ad878dec7c6,144000.0
0xd8275ad3b425293a6713329dcdd503fc31dda7b3,138795.0
0x17fe45c2abadf27309feedd8d5e6cffa8f815a99,134000.0
0xa7701c8c0c36d6cc7bab233aac4b5bd6cac14534,129407.86021799999
0x9f539c4da4aaa538b9c20a754d09a2abadfb3c1e,128704.51262000001
0x72f5610476aeeca5098b131b7ea502a864df1a6d,128556.0
0x80702a2b7cf69187b3e76afc07dbb0ca4db0daaf,117605.95938697763
0x4b7d6c3cea01f4d54a9cad6587da106ea39da1e6,114305.49946100001
0x176a275eac482aeb8d5331b14fbf6d077ee586ad,113546.38971
0x6bf53d65c9d28826f77d971158dda3c97642df05,110050.0
0x2598d5a776eee7aa882330376579f372058346c6,110000.0
0xfd44bb846b38aebe5b69c0d831fcc257b18ae09a,109334.0
0x3d0e76df5fdfc9625fe0db7285c1d6604ffd724d,108204.36
0x13d03ee13c12298bb6ec072df6feebca974aad88,106603.7
0x575d83c095fb34d2812e77d3b566a620380a598a,105000.0
0xd2854adfe5d85360a04f1e5933eb2d835bbeb943,105000.0
0x0a81c01be46afe315df14c064f15d2edad23e3c0,104535.13627
0x2b11fbbbbca461109b01bf7203c7a65c1eb8827c,101611.037084
0x8a49827d0b783f413549ae23b7c22888ccb4e6dc,101162.473818
0x6247e9daee60a393db8554e9a1567d3b2633ad54,100809.404371
0xbc1ae798cee02118782fcae145ef1afded3f7984,100663.0
0xaf8ef446b3e3b0317974e234f165bc49c96c6aa9,100010.0
0x38f42dfafede887d9f280ed5d7ed4ca36b97a61e,100001.0
0x49e13b15db923a086bcfe5a44f75e9c4dd20754a,100000.289169
0x61792ab526329d2afa7bb5d43a1cd634e07b98c0,100000.0
0x6c3021f2acb3ecfc6dcac18dfe70e90c12adc75f,100000.0
0x6b02940f37173dfeb9209fe4209e76ac0e301f3c,100000.0
0x85f226dfdd714444f5ac654be63081b85417beb2,100000.0
0xac2d4c5ee9bce30f7bfa674c7f3b907c485d0ef7,100000.0
0xb2513fb17000c51232eb19a82a246d34641cca5e,100000.0
0xf0a1682f86cdba8412706f56a1a89deb54fd9bea,100000.0
0x014866193677eba8e96590831c9b840ffeaf5cb6,100000.0
0x57a919e06c24945aa2254e54a8cabd74a01cfe76,100000.0
0xbed7339b60c333323e5f33099e05bf18357a79e8,100000.0
0xfb7f7363e24d8ea3c05ef5f43b06f0cfccb59269,100000.0
0xbb19896460a911d611b0aedce754e139c7106692,100000.0
0x34bfccf4720ccff3fbe184af91bb75bf309ea8d8,100000.0
0xc8a9d6bcd742816d519282562ea7cebb7d2cc06b,100000.0
0x97e974df3ff81428dca6aa45f982bad7400bc341,99996.45
0x553e460c0cc596bc64c63c77bc181af1ba5ed22b,99800.15
0x8081649d60ace23df3bc1ae1c2006a003f349b80,99177.905107
0x50c5eea9ca36f01a32c888b614231177e23608d2,93527.990022
0x0924336c3630a87a5d6fd7176ca6dc8e0ff9f9c7,92578.8
0x6ee33fcfe23eb7c0ca6161087327e8d20eb8ba25,90000.0
0x0364173fd3c4d992ba98eef916904fca893e8af4,90000.0
